Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,AMPNC,BADROX,HIGHSD,NOISE,SPIKE,NOSIGNAL,EXPFAIL,MTP
B6,Sample18,Glut 1,UNKNOWN,SYBR,None,,,,Undetermined,37.282341,,,,,,,,TRUE,0.014785846,TRUE,3,39,1,68.20067596,61.49201584,,,N,N,N,N,N,N,Y,Y
B7,Sample18,ACTB,UNKNOWN,SYBR,None,,,,24.86837769,30.89203072,8.518732071,,-6.390310287,,,,,TRUE,0.117639096,TRUE,3,21,1,84.00817871,,,,N,N,Y,N,N,N,N,N
B8,Sample18,ACTB,UNKNOWN,SYBR,None,,,,36.91568375,30.89203072,8.518732071,,-6.390310287,,,,,TRUE,0.117639096,TRUE,3,33,1,74.46658325,,,,N,N,Y,N,N,N,N,N
B9,Sample 20,GK,UNKNOWN,SYBR,None,,,,25.33968925,25.37207603,0.045801822,,8.196576118,0.230143026,,,,TRUE,1.185499205,TRUE,3,17,1,69.69499207,,,,N,N,N,N,N,N,N,N
B10,Sample 20,GK,UNKNOWN,SYBR,None,,,,25.40446281,25.37207603,0.045801822,,8.196576118,0.230143026,,,,TRUE,1.185499205,TRUE,3,16,1,69.99328613,,,,N,N,N,N,N,N,N,N
B11,,GK,NTC,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,1.185499205,TRUE,3,5,1,82.51616669,,,,N,Y,N,N,Y,Y,N,N
C1,Sample16,Glut 1,UNKNOWN,SYBR,None,,,,17.46750259,17.22643661,0.340918779,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.34383392,,,,N,N,N,N,N,N,N,N
C2,Sample16,Glut 1,UNKNOWN,SYBR,None,,,,16.98537064,17.22643661,0.340918779,,,,,,,TRUE,0.014785846,TRUE,3,14,1,78.34383392,,,,N,N,N,N,N,N,N,N
C3,Sample16,ACTB,UNKNOWN,SYBR,None,,,,17.83321381,17.88647079,0.075316757,,0.66003418,0.246878743,,,,TRUE,0.117639096,TRUE,3,13,1,84.0067749,,,,N,N,N,N,N,N,N,N
C4,Sample16,ACTB,UNKNOWN,SYBR,None,,,,17.93972778,17.88647079,0.075316757,,0.66003418,0.246878743,,,,TRUE,0.117639096,TRUE,3,13,1,84.0067749,76.40413666,,,N,N,N,N,N,N,N,Y
C5,Sample 23,Glut 1,UNKNOWN,SYBR,None,,,,17.16166115,16.96928024,0.272069037,,,,,,,TRUE,0.014785846,TRUE,3,16,1,77.89096832,,,,N,N,N,N,N,N,N,N
C6,Sample 23,Glut 1,UNKNOWN,SYBR,None,,,,16.77689743,16.96928024,0.272069037,,,,,,,TRUE,0.014785846,TRUE,3,14,1,77.89096832,,,,N,N,N,N,N,N,N,N
C7,Sample 23,ACTB,UNKNOWN,SYBR,None,,,,17.57705688,17.61995316,0.060664486,,0.650673866,0.197106242,,,,TRUE,0.117639096,TRUE,3,12,1,84.00817871,,,,N,N,N,N,N,N,N,N
C8,Sample 23,ACTB,UNKNOWN,SYBR,None,,,,17.66284943,17.61995316,0.060664486,,0.650673866,0.197106242,,,,TRUE,0.117639096,TRUE,3,14,1,84.00817871,,,,N,N,N,N,N,N,N,N
C9,Sample17,GK,UNKNOWN,SYBR,None,,,,24.97520065,24.97040749,0.006778562,,6.670471191,0.112469815,,,,TRUE,1.185499205,TRUE,3,14,1,69.8441391,,,,N,N,N,N,N,N,N,N
C10,Sample17,GK,UNKNOWN,SYBR,None,,,,24.96561432,24.97040749,0.006778562,,6.670471191,0.112469815,,,,TRUE,1.185499205,TRUE,3,17,1,78.94205475,,,,N,N,N,N,N,N,N,N
C11,Sample 1,ACTB,NTC,SYBR,None,,,,30.71019936,,,,,,,,,TRUE,0.117639096,TRUE,3,27,1,76.25386047,,,,Y,N,N,N,N,N,N,N
