Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
B11,Sample 1,actb,UNKNOWN,SYBR,None,1,0.190862849,5.239364147,15.75396156,15.31031227,0.627414823,,-8.003048897,0.555329859,,,0,TRUE,0.028595451,TRUE,3,13,1,83.7057724,,,,Y,N,N,N
B12,Sample 1,actb,UNKNOWN,SYBR,None,1,0.190862849,5.239364147,14.86666298,15.31031227,0.627414823,,-8.003048897,0.555329859,,,0,TRUE,0.028595451,TRUE,3,11,1,83.5566864,,,,Y,N,N,N
C1,Sample 2,glut1,UNKNOWN,SYBR,None,,,,24.82175636,24.14420891,0.732542694,,,,,,,TRUE,1.230659912,TRUE,3,17,1,78.33389282,,,,Y,N,N,N
C2,Sample 2,glut1,UNKNOWN,SYBR,None,,,,24.55876923,24.14420891,0.732542694,,,,,,,TRUE,1.230659912,TRUE,3,17,1,78.33389282,,,,Y,N,N,N
C3,Sample 2,actb,UNKNOWN,SYBR,None,0.001610479,9.87696E-08,26.2595253,36.91762924,25.41945648,11.41384125,,1.27524519,5.718662262,,,9.27829361,TRUE,0.028595451,TRUE,3,35,1,69.99100494,,,,Y,N,N,N
C4,Sample 2,actb,UNKNOWN,SYBR,None,0.001610479,9.87696E-08,26.2595253,33.54533768,25.41945648,11.41384125,,1.27524519,5.718662262,,,9.27829361,TRUE,0.028595451,TRUE,3,32,1,72.82286072,,,,Y,N,N,N
C5,Sample 9,glut1,UNKNOWN,SYBR,None,,,,24.26651955,23.94713211,0.45168069,,,,,,,TRUE,1.230659912,TRUE,3,16,1,78.03851318,,,,N,N,N,N
C6,Sample 9,glut1,UNKNOWN,SYBR,None,,,,23.62774658,23.94713211,0.45168069,,,,,,,TRUE,1.230659912,TRUE,3,15,1,78.03851318,,,,N,N,N,N
C7,Sample 9,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,67.45757294,61.19707489,77.14643097,,N,N,Y,Y
C8,Sample 9,actb,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.028595451,TRUE,3,39,1,67.15945435,,,,N,Y,Y,N
C9,Sample 7,gk,UNKNOWN,SYBR,None,10.07398415,5.821361065,17.43323517,25.30452919,25.1933403,0.157244831,,1.447449684,0.183887944,,,-3.332562447,TRUE,1.084602833,TRUE,3,18,1,69.99067688,,,,N,N,N,N
C10,Sample 7,gk,UNKNOWN,SYBR,None,10.07398415,5.821361065,17.43323517,25.08215141,25.1933403,0.157244831,,1.447449684,0.183887944,,,-3.332562447,TRUE,1.084602833,TRUE,3,17,1,70.28884125,,,,N,N,N,N
C11,Sample 2,actb,UNKNOWN,SYBR,None,0.001610479,9.87696E-08,26.2595253,15.74446392,25.41945648,11.41384125,,1.27524519,5.718662262,,,9.27829361,TRUE,0.028595451,TRUE,3,14,1,83.7057724,,,,Y,N,N,N
